"budget","popularity","revenue","runtime","vote_average","vote_count","release_year","release_month","budget_adjust","revenue_adjust","weight","History","Action","Documentary","Drama","Crime","Fantasy","Science Fiction","Romance","Horror","Comedy","Thriller","Western","Adventure","Music","War","Family","Animation","Mystery","based on novel","not based on novel","United States","United Kingdom","France","Japan","Australia","Germany","Canada","Spain","India","Mexico","Ireland","Italy","South Korea","China","South Africa","Hong Kong","New Zealand","Norway","Thailand","Fiji","Bulgaria","Russia","Brazil","Iran"
"237000000","150.437577","2787965087","162.0","7.2","11800","2009","12","299341791.858747","3521326855.621129","7.1187215787775155","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"300000000","139.082615","961000000","169.0","6.9","4500","2007","5","392062389.6750297","1255906521.592345","6.780985660299217","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245000000","107.376788","880674609","148.0","6.3","4466","2015","10","280096575.3511352","1006832416.2432653","6.311816693944352","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250000000","112.31295","1084939099","165.0","7.6","9106","2012","7","295053442.1631228","1280460062.7892282","7.4491690626797","0","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"260000000","43.926995","284139100","132.0","6.1","2124","2012","3","306855579.84964764","335344878.032527","6.194254437348045","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"258000000","115.699814","890871626","139.0","5.9","3576","2007","5","337173655.1205255","1164257528.6107976","6.017845028853353","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"260000000","48.681969","591794936","100.0","7.4","3330","2010","11","323092233.18780494","735401336.3902851","7.113828858935798","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"280000000","134.279229","1405403694","141.0","7.3","6767","2015","4","320110371.8298688","1606729639.4907541","7.152087207251178","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250000000","98.885637","933959197","153.0","7.4","5293","2009","7","315761383.8172437","1179632993.8942468","7.199632119957491","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250000000","155.790452","873260194","151.0","5.7","7004","2016","3","282252184.3112909","985918388.9144068","5.799296620169738","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
